"Datos de: SERIE=TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - TOTAL VIAJEROS, TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - TOTAL PERNOCTACIONES, TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - GRADO DE OCUPACIÓN, TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - ESTANCIA MEDIA, TURISMO - OFERTA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - ESTABLECIMIENTOS, TURISMO - OFERTA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - PLAZAS"
"COMUNIDAD AUTONOMA","CASTILLA Y LEON",,,,,,
"SERIE","TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - TOTAL VIAJEROS","TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - TOTAL PERNOCTACIONES","TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - GRADO DE OCUPACIÓN","TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - ESTANCIA MEDIA","TURISMO - OFERTA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - ESTABLECIMIENTOS","TURISMO - OFERTA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - PLAZAS",
,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,
MES,Sum,Sum,Sum,Sum,Sum,Sum,
"07-1996",      233282,      366773,       40.54,         1.6,        1762,       80280,
"08-1996",      316159,      496191,       55.55,         1.6,        1767,       80603,
"09-1996",      242185,      379269,       43.54,        1.56,        1780,       80854,
"10-1996",      208890,      333979,       36.69,        1.59,        1784,       80888,
"11-1996",      158104,      260936,       30.09,        1.63,        1779,       80878,
"12-1996",      127428,      192051,       22.68,        1.53,        1777,       80744,
"01-1997",      100262,      154157,       18.59,        1.55,        1776,       81335,
"02-1997",      137019,      202694,          26,        1.48,        1767,       81246,
"03-1997",      193950,      317357,          35,        1.59,        1768,       81340,
"04-1997",      185422,      276699,       31.07,        1.47,        1773,       81685,
"05-1997",      222129,      354430,       38.95,         1.6,        1780,       81960,
"06-1997",      219171,      350716,       39.03,        1.58,        1785,       81915,
"07-1997",      257101,      404067,       44.21,        1.57,        1798,       82037,
"08-1997",      335882,      537558,       58.55,        1.64,        1812,       82890,
"09-1997",      264091,      414469,       46.01,        1.55,        1847,       84750,
"10-1997",      234265,      365637,       39.87,        1.55,        1851,       84734,
"11-1997",      159544,      251232,        28.3,        1.51,        1856,       84766,
"12-1997",      139686,      205963,       23.97,        1.47,        1865,       83454,
"01-1998",      119329,      182078,       20.38,         1.5,        1866,       83405,
"02-1998",      141191,      206843,       25.93,        1.44,        1876,       83858,
"03-1998",      186341,      285629,       30.41,        1.49,        1878,       83867,
"04-1998",      223121,      351150,          39,        1.57,        1876,       83895,
"05-1998",      232146,      358599,       37.23,        1.54,        1883,       84088,
"06-1998",      233299,      356421,       38.05,        1.57,        1892,       84181,
"01-1999",      190692,      298767,       16.89,        1.57,        1975,       88034,
"02-1999",      232485,      372400,       23.48,         1.6,        1962,       88081,
"03-1999",      328208,      492647,       25.08,         1.5,        1996,       88195,
"04-1999",      408939,      676533,        26.5,        1.65,        2022,       88418,
"05-1999",      386756,      571721,       25.25,        1.48,        2039,       88911,
"06-1999",      397725,      648598,        26.1,        1.63,        2057,       88130,
"07-1999",      573123,      957759,       35.06,        1.67,        2086,       89862,
"08-1999",      788153,     1470097,       53.55,        1.87,        2104,       90143,
"09-1999",      495314,      750666,       31.05,        1.52,        2113,       90314,
"10-1999",      453754,      684354,       34.54,        1.51,        2134,       90555,
"11-1999",      259487,      432157,       22.87,        1.67,        2147,       90704,
"12-1999",      283029,      422632,       22.03,        1.49,        2173,       91046,
"01-2000",      210692,      341995,       16.99,        1.62,        2181,       91125,
"02-2000",      259454,      401048,       22.12,        1.55,        2198,       91805,
"03-2000",      309048,      491219,       24.92,        1.59,        2220,       92491,
"04-2000",      424808,      689051,       29.02,        1.62,        2241,       92425,
"05-2000",      401475,      631183,       25.51,        1.57,        2276,       92874,
"06-2000",      398496,      637056,       23.46,         1.6,        2295,       93124,
"07-2000",      577232,      983879,       34.37,         1.7,        2313,       94319,
"08-2000",      764155,     1425995,       48.21,        1.87,        2335,       95408,
"09-2000",      505854,      768091,       30.65,        1.52,        2348,       95695,
"10-2000",      464485,      687670,       31.77,        1.48,        2377,       96013,
"11-2000",      329793,      523096,       24.91,        1.59,        2421,       96810,
"12-2000",      298413,      456182,       23.26,        1.53,        2434,       96908,
"01-2001",      226398,      361430,        18.4,         1.6,        2445,       97125,
"02-2001",      276568,      428506,       23.36,        1.55,        2459,       97364,
"03-2001",      319838,      528569,       24.53,        1.65,        2481,       97482,
"04-2001",      424692,      706297,       34.38,        1.66,        2520,       98397,
"05-2001",      391868,      608847,       27.63,        1.55,        2539,       98737,
"06-2001",      420395,      665811,       23.88,        1.58,        2582,      100295,
"07-2001",      589342,     1018801,       33.24,        1.73,        2630,      101112,
"08-2001",      788903,     1504460,        48.3,        1.91,        2647,      101264,
"09-2001",      515736,      833421,       31.37,        1.62,        2677,      101819,
"10-2001",      456313,      720299,       30.52,        1.58,        2706,      102523,
"11-2001",      342407,      553509,       24.31,        1.62,        2736,      103028,
"12-2001",      315059,      501594,       23.38,        1.59,        2752,      103311,
"01-2002",      236019,      388473,       17.44,        1.65,        2775,      103895,
"02-2002",      309507,      473831,       23.59,        1.53,        2791,      104137,
"03-2002",      398445,      680262,       29.12,        1.71,        2805,      104599,
"04-2002",      418099,      671195,       25.58,        1.61,        2830,      104941,
"05-2002",      454248,      695398,       25.93,        1.53,        2844,      105426,
"06-2002",      490683,      745411,       25.41,        1.52,        2862,      105738,
"07-2002",      620650,     1062179,       33.09,        1.71,        2882,      106583,
"08-2002",      843084,     1583740,       49.66,        1.88,        2905,      107127,
"09-2002",      544355,      873346,       31.05,         1.6,        2913,      107336,
"10-2002",      494924,      792251,       31.07,         1.6,        2936,      107284,
"11-2002",      394255,      604507,       24.76,        1.53,        2958,      107542,
"12-2002",      331462,      523648,        22.5,        1.58,        2973,      107991,
"01-2003",      239009,      386322,       16.34,        1.62,        2975,      107851,
"02-2003",      295806,      454864,       21.32,        1.54,        2992,      108041,
"03-2003",      362492,      591132,       24.31,        1.63,        3005,      108247,
"04-2003",      441450,      728162,       23.31,        1.65,        3020,      108424,
"05-2003",      463287,      752520,       25.98,        1.62,        3038,      109116,
"06-2003",      502334,      776386,       25.37,        1.55,        3053,      109699,
"07-2003",      624129,     1081969,       32.03,        1.73,        3077,      109969,
"08-2003",      865090,     1639564,       49.45,         1.9,        3101,      110334,
"09-2003",      553012,      873648,       29.86,        1.58,        3118,      110934,
"10-2003",      495507,      797263,       29.77,        1.61,        3137,      110978,
"11-2003",      395981,      609120,       24.51,        1.54,        3171,      111406,
"12-2003",      336106,      528961,       21.66,        1.57,        3198,      111908,
"01-2004",      264704,      408309,       16.43,        1.54,        3219,      112130,
"02-2004",      310849,      473304,       20.06,        1.52,        3240,      112602,
"03-2004",      379943,      604418,       22.98,        1.59,        3265,      112808,
"04-2004",      463881,      767591,       26.94,        1.65,        3283,      113230,
"05-2004",      493800,      773608,        25.6,        1.57,        3320,      113814,
"06-2004",      510699,      813433,       25.76,        1.59,        3325,      113870,
"07-2004",      641104,     1106246,       32.17,        1.72,        3369,      114349,
"08-2004",      893223,     1643815,       47.78,        1.84,        3395,      114747,
"09-2004",      626079,      933483,       30.78,        1.49,        3421,      114985,
"10-2004",      546363,      872053,        31.1,         1.6,        3461,      115377,
"11-2004",      401777,      621912,       23.77,        1.55,        3479,      115825,
"12-2004",      369797,      598835,       23.29,        1.62,        3513,      116182,
"01-2005",      260396,      415948,       15.99,         1.6,        3537,      116393,
"02-2005",      301116,      482888,       20.21,         1.6,        3577,      116708,
"03-2005",      432302,      767934,       26.64,        1.78,        3612,      117096,
"04-2005",      425954,      694608,       23.28,        1.63,        3646,      117586,
"05-2005",      510103,      798369,        25.3,        1.57,        3684,      117701,
"06-2005",      504159,      815218,       24.79,        1.62,        3717,      118036,
"07-2005",      604243,     1072738,       29.77,        1.78,        3753,      118494,
"08-2005",      860690,     1639544,       45.99,         1.9,        3778,      119104,
"09-2005",      596841,      957993,       29.06,        1.61,        3833,      120008,
"10-2005",      525595,      872916,       29.44,        1.66,        3861,      120289,
"11-2005",      416754,      660014,       22.73,        1.58,        3883,      120538,
"12-2005",      364265,      601136,       21.64,        1.65,        3905,      121103,
"01-2006",      286419,      464970,       16.48,        1.62,        3923,      121395,
"02-2006",      340206,      526308,       20.32,        1.55,        3945,      121643,
"03-2006",      421453,      666600,       22.85,        1.58,        3972,      122107,
"04-2006",      494660,      899503,        27.5,        1.82,        4000,      122680,
"05-2006",      531370,      856454,       25.11,        1.61,        4039,      123495,
"06-2006",      507428,      844893,       24.29,        1.67,        4088,      124328,
"07-2006",      639261,     1106932,       29.12,        1.73,        4145,      125360,
"08-2006",      905102,     1726624,       45.42,        1.91,        4178,      125698,
"09-2006",      624369,     1007144,       29.11,        1.61,        4205,      125506,
"10-2006",      577629,      941256,       29.36,        1.63,        4225,      126111,
"11-2006",      419597,      712770,       23.44,         1.7,        4248,      127235,
"12-2006",      386738,      665005,       21.88,        1.72,        4265,      127787,
"01-2007",      302992,      509032,       16.74,        1.68,        4285,      127421,
"02-2007",      356972,      569484,       20.61,         1.6,        4299,      127739,
"03-2007",      449996,      722760,       22.73,        1.61,        4321,      128000,
"04-2007",      566149,     1008107,       29.24,        1.78,        4345,      128336,
"05-2007",      561337,      896003,       24.62,         1.6,        4383,      128462,
"06-2007",      563829,      899277,       24.03,        1.59,        4416,      128748,
"07-2007",      678484,     1141126,       28.74,        1.68,        4462,      129325,
"08-2007",      958575,     1806985,       45.05,        1.89,        4472,      129518,
"09-2007",      649340,     1045308,       28.45,        1.61,        4506,      129698,
"10-2007",      605884,      975360,       29.68,        1.61,        4528,      130198,
"11-2007",      464221,      763272,       24.62,        1.64,        4566,      130786,
"12-2007",      403555,      701498,       21.92,        1.74,        4569,      130847,
"01-2008",      309352,      521348,       16.71,        1.69,        4596,      131143,
"02-2008",      380628,      609858,       20.72,         1.6,        4620,      131530,
"03-2008",      506036,      870382,       25.56,        1.72,        4645,      131652,
"04-2008",      512577,      831121,       23.66,        1.62,        4658,      131800,
"05-2008",      576446,      953959,       25.71,        1.65,        4700,      132328,
"06-2008",      543088,      900938,       23.63,        1.66,        4724,      133107,
"07-2008",      609537,     1067541,        26.1,        1.75,        4771,      133799,
"08-2008",      874813,     1688253,       40.65,        1.93,        4793,      134336,
"09-2008",      576001,      999379,       25.99,        1.74,        4835,      134728,
"10-2008",      579306,      949676,       27.33,        1.64,        4864,      134742,
"11-2008",      446585,      749434,       23.09,        1.68,        4910,      135370,
"12-2008",      380844,      669654,       20.44,        1.76,        4944,      135974,
"01-2009",      279322,      492291,       14.98,        1.76,        4970,      136336,
