Comunidades autónomas;Tipo de dato;Periodo;Total
16 País Vasco;Dato base;2020;527.286
16 País Vasco;Dato base;2019;1.611.280
16 País Vasco;Dato base;2018;1.552.389
16 País Vasco;Dato base;2017;1.514.765
16 País Vasco;Dato base;2016;1.382.083
16 País Vasco;Tasa de variación anual;2022;131,05
16 País Vasco;Tasa de variación anual;2021;26,82
16 País Vasco;Tasa de variación anual;2020;-67,28
16 País Vasco;Tasa de variación anual;2019;3,79
16 País Vasco;Tasa de variación anual;2018;2,48
16 País Vasco;Tasa de variación anual;2017;9,6
16 País Vasco;Tasa de variación anual;2016;-12,59
17 Rioja, La;Dato base;2022;105.910
17 Rioja, La;Dato base;2021;47.913
17 Rioja, La;Dato base;2020;45.355
17 Rioja, La;Dato base;2019;139.497
17 Rioja, La;Dato base;2018;142.926
17 Rioja, La;Dato base;2017;124.189
17 Rioja, La;Dato base;2016;150.779
17 Rioja, La;Tasa de variación anual;2022;121,05
17 Rioja, La;Tasa de variación anual;2021;5,64
17 Rioja, La;Tasa de variación anual;2020;-67,49
17 Rioja, La;Tasa de variación anual;2019;-2,4
17 Rioja, La;Tasa de variación anual;2018;15,09
17 Rioja, La;Tasa de variación anual;2017;-17,64
17 Rioja, La;Tasa de variación anual;2016;81,18
18 Ceuta;Dato base;2022;35.937
18 Ceuta;Dato base;2021;3.942
18 Ceuta;Dato base;2020;""
18 Ceuta;Dato base;2019;""
18 Ceuta;Dato base;2018;""
18 Ceuta;Dato base;2017;""
18 Ceuta;Dato base;2016;""
18 Ceuta;Tasa de variación anual;2022;179
18 Ceuta;Tasa de variación anual;2021;..
18 Ceuta;Tasa de variación anual;2020;""
18 Ceuta;Tasa de variación anual;2019;""
18 Ceuta;Tasa de variación anual;2018;""
18 Ceuta;Tasa de variación anual;2017;""
18 Ceuta;Tasa de variación anual;2016;""
19 Melilla;Dato base;2022;25.224
19 Melilla;Dato base;2021;8.918
19 Melilla;Dato base;2020;""
19 Melilla;Dato base;2019;""
19 Melilla;Dato base;2018;""
19 Melilla;Dato base;2017;""
19 Melilla;Dato base;2016;""
19 Melilla;Tasa de variación anual;2022;..
19 Melilla;Tasa de variación anual;2021;..
19 Melilla;Tasa de variación anual;2020;""
19 Melilla;Tasa de variación anual;2019;""
19 Melilla;Tasa de variación anual;2018;""
19 Melilla;Tasa de variación anual;2017;""
19 Melilla;Tasa de variación anual;2016;""
